ProDataCSV

Title: Sat Mar 09 13:45:26 2024

Remarks:
#User: SX User
#Date: 2024/03/09
#HV (Absorbance channel): 289.551
#Samples per point: 240
#Sample period: 12.5 us
#Temperature: 19.78 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Mar 09 13:59:22 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 3s,linear,oversampled,external trigger,pressure hold in operation
0.129,0.0726073,0.0729137,0.0729083,0.0730329,0.0730636
0.132,0.072471,0.0726625,0.0727009,0.0726975,0.0726821
0.135,0.0722293,0.0722131,0.0722842,0.0723105,0.0723797
0.138,0.0720806,0.0718896,0.0721173,0.0720697,0.0719602
0.141,0.0716665,0.0719098,0.0720253,0.0717078,0.0717914
0.144,0.0713503,0.0717354,0.071771,0.0717098,0.0718882
0.147,0.0711764,0.0715591,0.071651,0.07162,0.071599
0.15,0.0710456,0.0713204,0.071321,0.0713449,0.0713817
0.153,0.0709024,0.0707522,0.0708897,0.0711078,0.0711453
0.156,0.0706951,0.0705309,0.0706627,0.0707782,0.0706056
0.159,0.0703048,0.0702518,0.0703773,0.0703621,0.0704495
0.162,0.0700554,0.0701602,0.0702219,0.0702588,0.0702812
0.165,0.0696851,0.0701601,0.0702384,0.0700692,0.0700846
0.168,0.06956,0.0699038,0.0699088,0.06989,0.0699965
0.171,0.0695092,0.0694485,0.0696352,0.0697469,0.0696181
0.174,0.0692043,0.0691619,0.0692587,0.0693619,0.0692454
0.177,0.068963,0.0686914,0.0688743,0.0690662,0.069015
0.18,0.0686703,0.0685252,0.0688444,0.0688437,0.0687318
0.183,0.0682422,0.0686164,0.0686653,0.0685436,0.0686036
0.186,0.0681431,0.068422,0.0685082,0.0684665,0.0684891
0.189,0.0680086,0.0682214,0.0683231,0.0682833,0.0681899
0.192,0.0676805,0.0678213,0.067811,0.0680188,0.0679813
0.195,0.0676154,0.0673689,0.067567,0.0678645,0.0676429
0.198,0.0673674,0.067224,0.0674186,0.067583,0.0673433
0.201,0.0670919,0.0670709,0.067196,0.0673061,0.0672191
0.204,0.0669411,0.0668824,0.0671725,0.0671274,0.0668881
0.207,0.0664932,0.0668304,0.0669233,0.0668153,0.0667338
0.21,0.0662777,0.066458,0.0665114,0.0667228,0.0666987
0.213,0.0661972,0.0662077,0.0663911,0.0666137,0.0663872
0.216,0.0659012,0.0660274,0.0660009,0.0662967,0.0661782
0.219,0.0658214,0.065648,0.0657231,0.0661204,0.0659344
0.222,0.0656271,0.0654933,0.0656833,0.0656796,0.065474
0.225,0.0651795,0.0652796,0.0653908,0.0653953,0.0654363
0.228,0.0649636,0.0651226,0.0652824,0.0653007,0.0653112
0.231,0.0647603,0.0650312,0.0652234,0.0651911,0.0650976
0.234,0.0646012,0.0647206,0.0648819,0.0651311,0.0650213
0.237,0.0645502,0.0643822,0.0646347,0.0649485,0.0646271
0.24,0.0643305,0.0641554,0.0643972,0.0644585,0.0642429
0.243,0.0640231,0.063894,0.0640524,0.0642037,0.0640959
0.246,0.063805,0.0638109,0.0640598,0.0640521,0.063855
0.249,0.0634787,0.0638098,0.0639069,0.0638283,0.0638412
0.252,0.0633962,0.0635701,0.0636736,0.0638956,0.0638723
0.255,0.0633269,0.0634144,0.0634687,0.0636463,0.0635227
0.258,0.0630826,0.0630144,0.0630725,0.0633145,0.0632885
0.261,0.0629035,0.0626578,0.0627677,0.0630876,0.0630401
0.264,0.0626038,0.0625959,0.0627397,0.0628077,0.0627681
0.267,0.0623182,0.062468,0.0626432,0.0626075,0.0627219
0.27,0.0622428,0.0623222,0.06261,0.0627042,0.0626319
0.273,0.0620715,0.0622443,0.0624437,0.0624409,0.0623843
0.276,0.0619076,0.0618146,0.0620453,0.0622092,0.0621993
0.279,0.0618198,0.0615038,0.061843,0.062018,0.0617977
0.282,0.0614382,0.0614229,0.0616017,0.0616602,0.0616146
0.285,0.0613502,0.0612813,0.0614718,0.0615456,0.061531
0.288,0.0612326,0.0612693,0.061496,0.0614284,0.0613866
0.291,0.0609707,0.0611821,0.0613022,0.0611986,0.0612653
0.294,0.0608155,0.0608185,0.0610292,0.061184,0.0611138
0.297,0.0605916,0.0606327,0.0607828,0.0610036,0.0608309
0.3,0.0603732,0.0603283,0.0605256,0.0607736,0.0607522
0.303,0.0603321,0.0601588,0.0604722,0.0605891,0.0604509
0.306,0.0601047,0.0601741,0.060349,0.0602978,0.0603
0.309,0.0599959,0.0598614,0.0601507,0.0601224,0.0602399
0.312,0.0597865,0.0597015,0.0600668,0.0600446,0.0599997
0.315,0.0595251,0.0596412,0.0598185,0.0598973,0.0599011
0.318,0.059509,0.0593369,0.0596387,0.0597625,0.0597758
0.321,0.0593865,0.05922,0.0595364,0.0596078,0.0594247
0.324,0.0592109,0.059111,0.0592157,0.0592007,0.0592706
0.327,0.0590891,0.0587886,0.0590468,0.0590107,0.059044
0.33,0.0587674,0.0588082,0.059041,0.0588782,0.0588294
0.333,0.0585079,0.0586913,0.058821,0.0588436,0.058956
0.336,0.058469,0.0585001,0.0587183,0.0588768,0.0588219
0.339,0.0583074,0.0584081,0.0585918,0.0586233,0.0585949
0.342,0.0582342,0.0580462,0.0582139,0.0584162,0.0583865
0.345,0.0582044,0.0577733,0.0580789,0.0581797,0.0579641
0.348,0.057773,0.0577173,0.0579244,0.0578603,0.0578531
0.351,0.0576204,0.0575742,0.0578809,0.0578808,0.0579612
0.354,0.057578,0.0575914,0.0579547,0.0578971,0.0578087
0.357,0.0574434,0.0574852,0.0577506,0.0576617,0.0577668
0.36,0.0574194,0.0571557,0.0574899,0.057556,0.0575067
0.363,0.0573124,0.0569529,0.0572297,0.0572096,0.0570888
0.366,0.0570067,0.0567191,0.0570008,0.0569367,0.0569904
0.369,0.0568893,0.0566348,0.0569007,0.0569808,0.0568681
0.372,0.0567102,0.0566844,0.0569821,0.0567924,0.0568307
0.375,0.0565438,0.0565435,0.0567616,0.0567544,0.0568514
0.378,0.0565142,0.0563678,0.0566123,0.0567181,0.0565681
0.381,0.0562859,0.0561964,0.0563804,0.0563758,0.0564125
0.384,0.0561152,0.055862,0.056161,0.0562503,0.0562348
0.387,0.0559939,0.0557612,0.0561661,0.0561542,0.0560342
0.39,0.0558931,0.0557666,0.0560136,0.0559562,0.0559707
0.393,0.0558152,0.0555697,0.0558829,0.0559299,0.0559092
0.396,0.0556804,0.0556044,0.0557622,0.0557941,0.0556744
0.399,0.0554752,0.055373,0.0555362,0.0556403,0.0556824
0.402,0.0554128,0.0551057,0.0554051,0.0556537,0.0554754
0.405,0.0552072,0.0550987,0.0553651,0.0553974,0.055313
0.408,0.0552058,0.0548765,0.0551629,0.055203,0.0551748
0.411,0.0552666,0.0547457,0.0550192,0.0550364,0.0548801
0.414,0.0549154,0.0547303,0.0549209,0.0547887,0.0548567
0.417,0.0547173,0.0545464,0.0547757,0.0548287,0.0549177
0.42,0.0545934,0.0544715,0.0548025,0.0548881,0.0547513
0.423,0.0544623,0.054465,0.0546604,0.0547235,0.0547151
0.426,0.054541,0.0541759,0.0544439,0.054595,0.0544517
0.429,0.0544359,0.0540079,0.0542957,0.0542643,0.0541117
0.432,0.0541762,0.053864,0.054016,0.0540412,0.0540369
0.435,0.0540562,0.0537845,0.0540404,0.054091,0.0540213
0.438,0.0538335,0.0538126,0.054039,0.0540392,0.054039
0.441,0.0536833,0.0537803,0.0538967,0.0540898,0.0541078
0.444,0.0538301,0.0535833,0.0538076,0.05396,0.0538147
0.447,0.0536706,0.0533427,0.0535489,0.0535075,0.0535293
0.45,0.0534949,0.0530559,0.0532702,0.0533489,0.0534195
0.453,0.0533552,0.0530621,0.0533771,0.0532849,0.0532155
0.456,0.0531496,0.0530762,0.0533048,0.05323,0.0532652
0.459,0.0531355,0.0529905,0.0532211,0.0533249,0.0533305
0.462,0.0531275,0.0529962,0.0531914,0.0532003,0.0531108
0.465,0.0529568,0.0526966,0.0528359,0.0529219,0.0529447
0.468,0.0529645,0.0524642,0.0526961,0.0528467,0.05265
0.471,0.0527774,0.0524404,0.0526066,0.0526128,0.0525218
0.474,0.0525637,0.0523143,0.0524881,0.0526011,0.052588
0.477,0.0525527,0.0523381,0.0525015,0.0526494,0.0525659
0.48,0.0523876,0.0523561,0.052451,0.0524631,0.0524969
0.483,0.0523258,0.0520531,0.0521702,0.0523694,0.0524577
0.486,0.0522358,0.0519679,0.0521532,0.0523379,0.0521615
0.489,0.0520325,0.0518075,0.0519921,0.0520509,0.0520945
0.492,0.0520448,0.0515942,0.0519028,0.0520046,0.0520161
0.495,0.0520123,0.0517102,0.0519095,0.0518701,0.0518027
0.498,0.0517639,0.0515356,0.0516943,0.0516564,0.0518528
0.501,0.0517209,0.0513985,0.0516843,0.0517911,0.05172
0.504,0.0515659,0.0514546,0.0516088,0.0516987,0.0515926
0.507,0.0514474,0.0512958,0.0514464,0.0516138,0.0515657
0.51,0.051588,0.0511266,0.0514335,0.0514811,0.0513487
0.513,0.0514786,0.0510756,0.0512381,0.0511588,0.0511662
0.516,0.0512932,0.0508562,0.0509381,0.051059,0.0511032
0.519,0.0511304,0.050825,0.0509878,0.0510461,0.0510377
0.522,0.05085,0.0509587,0.0509276,0.0510826,0.0511159
0.525,0.0508723,0.0508105,0.0509363,0.0512026,0.0510562
0.528,0.0509146,0.0507332,0.0509315,0.0510138,0.0508239
0.531,0.0508396,0.0504898,0.0506563,0.0506586,0.0506407
0.534,0.0508229,0.0501889,0.0505013,0.0505165,0.0504923
0.537,0.0505793,0.0501872,0.0504779,0.0504023,0.0504296
0.54,0.0503944,0.050186,0.0503041,0.0504046,0.0505606
0.543,0.0504244,0.0502839,0.0504855,0.0505623,0.0504685
0.546,0.050305,0.0502976,0.0503829,0.0503931,0.0503694
0.549,0.0503409,0.0499744,0.050098,0.0502215,0.0501876
0.552,0.0503262,0.0498222,0.0500278,0.0500419,0.0499276
0.555,0.050059,0.0497082,0.0498756,0.0498136,0.0498791
0.558,0.0499748,0.0496675,0.0498011,0.049858,0.0499329
0.561,0.0499103,0.0497945,0.0498883,0.049961,0.0498592
0.564,0.0498349,0.0497169,0.0497779,0.0498995,0.0499084
0.567,0.0498945,0.0494914,0.0496274,0.049877,0.0496594
0.57,0.0497021,0.049405,0.0496326,0.0495842,0.0494821
0.573,0.0496059,0.0491772,0.0494117,0.0494693,0.0494575
0.576,0.0496031,0.0491239,0.049417,0.0494228,0.049357
0.579,0.0495453,0.0491738,0.0494634,0.0492474,0.0493407
0.582,0.0494273,0.0490602,0.0492343,0.0492975,0.0494164
0.585,0.0493957,0.0490943,0.049249,0.0493266,0.0492704
0.588,0.04917,0.0490463,0.0491155,0.0491047,0.0491855
0.591,0.0491767,0.0488073,0.0490128,0.0490988,0.0491391
0.594,0.0491377,0.0487935,0.0489835,0.0488859,0.0489536
0.597,0.0490729,0.048627,0.0488511,0.0486855,0.0488624
0.6,0.0490771,0.0484725,0.0487247,0.0487526,0.0487657
0.603,0.048929,0.0485239,0.0486926,0.0486758,0.0486568
0.606,0.0486965,0.0484394,0.0486416,0.0486393,0.0488193
0.609,0.0487004,0.0484348,0.0486661,0.0487775,0.0486766
0.612,0.048619,0.048491,0.0486142,0.04856,0.048582
0.615,0.0487296,0.0482454,0.0484295,0.0484421,0.0484694
0.618,0.0486828,0.0481003,0.0483371,0.0482911,0.0482409
0.621,0.0484171,0.0480193,0.04819,0.0480972,0.0482874
0.624,0.0483147,0.0479742,0.0481495,0.0482392,0.0483905
0.627,0.0482498,0.0480948,0.0482548,0.0483027,0.0483909
0.63,0.0482174,0.0480891,0.0481345,0.0482071,0.0483552
0.633,0.0483239,0.0478813,0.0480139,0.0481091,0.0480493
0.636,0.0482713,0.0477597,0.0479287,0.0477659,0.0478302
0.639,0.0480566,0.0475341,0.0476716,0.0475547,0.0478535
0.642,0.0480597,0.0474459,0.047752,0.0476865,0.0477786
0.645,0.0478107,0.0476144,0.0479033,0.0477588,0.0478971
0.648,0.0478258,0.0475824,0.047741,0.0478229,0.0479542
0.651,0.047896,0.0475301,0.0477354,0.0477951,0.0475809
0.654,0.0477086,0.0473886,0.0474913,0.0474971,0.0475205
0.657,0.047749,0.0471061,0.0472683,0.0474209,0.0474371
0.66,0.0477002,0.0471079,0.0473511,0.0473449,0.0473316
0.663,0.0475128,0.0471873,0.0472598,0.0473121,0.0474756
0.666,0.0475638,0.0471279,0.0472786,0.0474883,0.0474434
0.669,0.0474868,0.0470985,0.0473406,0.0473662,0.0472476
0.672,0.0473194,0.0469954,0.0471022,0.0472489,0.0472921
0.675,0.0473854,0.0468202,0.0470437,0.0471666,0.0470828
0.678,0.0472658,0.0468912,0.047062,0.0469221,0.0470399
0.681,0.0473008,0.046725,0.046891,0.0468772,0.047109
0.684,0.0473273,0.0466692,0.0469803,0.0469057,0.04694
0.687,0.0471363,0.0467014,0.0469502,0.0468166,0.0468213
0.69,0.0469803,0.0466216,0.0467465,0.0468871,0.046871
0.693,0.0469841,0.0466231,0.0467868,0.0468748,0.046788
0.696,0.0468894,0.0466245,0.0466485,0.0467,0.046816
0.699,0.0470061,0.0464447,0.0465302,0.0467229,0.046688
0.702,0.046991,0.0463613,0.0464721,0.0465015,0.0464289
0.705,0.0467766,0.0461712,0.0463793,0.0464254,0.0464679
0.708,0.0467091,0.046143,0.0464328,0.0466246,0.0464493
0.711,0.0465256,0.0462774,0.0464722,0.0465319,0.046467
0.714,0.0465751,0.0461904,0.0463898,0.0464961,0.046499
0.717,0.0466835,0.0461159,0.0463493,0.0464775,0.0463153
0.72,0.0466436,0.0460811,0.0461748,0.0461446,0.0461252
0.723,0.0465958,0.0457712,0.0459912,0.0460094,0.0460318
0.726,0.0463833,0.0457763,0.0461147,0.0460978,0.0459305
0.729,0.0461849,0.0459095,0.0460945,0.0461441,0.04609
0.732,0.0462724,0.0458589,0.0461492,0.046245,0.0461595
0.735,0.0462932,0.0459836,0.0460822,0.0462261,0.046037
0.738,0.0463112,0.0458014,0.0458293,0.0459418,0.0459429
0.741,0.0463325,0.0455123,0.0457147,0.0458255,0.0457003
0.744,0.046115,0.0454967,0.0456109,0.0457679,0.0456815
0.747,0.0460018,0.0454341,0.045635,0.04579,0.0458226
0.75,0.0460504,0.0454947,0.0458267,0.0459216,0.045724
0.753,0.0459275,0.0455826,0.0457932,0.045865,0.0457166
0.756,0.045987,0.0454013,0.0455418,0.0457089,0.0456113
0.759,0.0460184,0.0453141,0.045471,0.0455469,0.0453638
0.762,0.0458011,0.0452054,0.0453475,0.0453812,0.0453785
0.765,0.0458765,0.045108,0.0454096,0.0455569,0.0454182
0.768,0.0457672,0.0451608,0.0455718,0.0454806,0.0453872
0.771,0.0456059,0.0452584,0.0453914,0.045491,0.0454021
0.774,0.045684,0.0451303,0.0453011,0.0455298,0.0452106
0.777,0.045547,0.0452332,0.0452165,0.045345,0.0451292
0.78,0.0455153,0.045088,0.0450982,0.0452472,0.0452335
0.783,0.0456603,0.0449457,0.0450993,0.0452639,0.0451168
0.786,0.0455705,0.0449441,0.0450468,0.0451458,0.0450738
0.789,0.04552,0.044764,0.0449639,0.0451607,0.0450838
0.792,0.0454063,0.0448075,0.0450013,0.045166,0.044975
0.795,0.0451281,0.0448569,0.0449565,0.0451219,0.0449852
0.798,0.0452004,0.04482,0.0449639,0.0451601,0.044974
0.801,0.0452789,0.0448658,0.0449635,0.0449959,0.0448117
0.804,0.0452896,0.0446885,0.044743,0.0448215,0.044783
0.807,0.0453677,0.0443848,0.0446523,0.0448839,0.0447044
0.81,0.0451396,0.0444893,0.0447425,0.0447422,0.0445829
0.813,0.0449075,0.0444741,0.0446779,0.0448525,0.0447729
0.816,0.0449473,0.0445986,0.044723,0.0450009,0.0446852
0.819,0.0448805,0.0446919,0.0446942,0.0448115,0.0446348
0.822,0.044982,0.0444882,0.0445034,0.0446947,0.0445788
0.825,0.045032,0.0442683,0.0444344,0.0445172,0.0443784
0.828,0.0448191,0.044215,0.0443267,0.0444169,0.0444186
0.831,0.0447779,0.0441105,0.0443609,0.0445858,0.044509
0.834,0.0446571,0.0443176,0.0445465,0.0446341,0.0444966
0.837,0.0446177,0.0443922,0.0444497,0.0446375,0.0444888
0.84,0.0447459,0.0442541,0.0442996,0.0446049,0.0443007
0.843,0.0447203,0.0441705,0.0441489,0.044313,0.0441129
0.846,0.0446054,0.0439645,0.0439936,0.0441577,0.0442171
0.849,0.0446297,0.0438603,0.0441025,0.0442211,0.0441865
0.852,0.0444656,0.0440617,0.0442259,0.044288,0.0442576
0.855,0.0444967,0.0439858,0.0442023,0.0443843,0.0442602
0.858,0.0445078,0.0439928,0.0441872,0.0443339,0.0440236
0.861,0.0443412,0.044002,0.0439735,0.044141,0.0439526
0.864,0.0443971,0.0437945,0.0438127,0.0440983,0.0439315
0.867,0.044409,0.0437989,0.043927,0.0440578,0.0439376
0.87,0.0442929,0.0438042,0.0438933,0.0440542,0.0440758
0.873,0.044319,0.0436688,0.0438832,0.0441634,0.0439339
0.876,0.0441715,0.0436706,0.0439075,0.0440556,0.0437959
0.879,0.0440454,0.0437133,0.0436905,0.0440272,0.0439654
0.882,0.0441261,0.0436971,0.0437007,0.044077,0.0438712
0.885,0.0440929,0.0437756,0.0437051,0.0439145,0.0438653
0.888,0.0441809,0.0435828,0.0435923,0.0438618,0.043886
0.891,0.0442069,0.0434873,0.0436733,0.0437868,0.0436694
0.894,0.0440608,0.0433779,0.0436242,0.0436931,0.0436972
0.897,0.0439204,0.0433667,0.0435862,0.0437822,0.0436993
0.9,0.0439151,0.0434964,0.043726,0.0438468,0.0435972
0.903,0.0438558,0.0434424,0.0435612,0.0437814,0.0437053
0.906,0.0440488,0.0433928,0.0434674,0.0437727,0.0436263
0.909,0.0440838,0.0433116,0.0434443,0.0435259,0.0434728
0.912,0.0439116,0.0431094,0.0432162,0.0433927,0.0435377
0.915,0.0437127,0.0431449,0.0432597,0.043578,0.0435349
0.918,0.0435433,0.0433581,0.0433805,0.0435727,0.0435785
0.921,0.0435695,0.0433099,0.0433688,0.0436765,0.0436631
0.924,0.0437468,0.0432981,0.0433228,0.0436361,0.0434614
0.927,0.0437662,0.0431251,0.0431839,0.0433219,0.0433818
0.93,0.0437331,0.0428994,0.0429723,0.0432878,0.0433534
0.933,0.0436409,0.0429972,0.0431542,0.0433247,0.0432875
0.936,0.0434259,0.043045,0.0432299,0.0432579,0.0434316
0.939,0.0434619,0.0429849,0.0432471,0.043415,0.0433012
0.942,0.0434565,0.0431214,0.0432287,0.0433443,0.0431794
0.945,0.0434759,0.0429346,0.0429418,0.043212,0.0431412
0.948,0.0435173,0.0427909,0.042914,0.0432054,0.0430855
0.951,0.0434267,0.0429303,0.0429277,0.0430126,0.0431687
0.954,0.0433913,0.0428327,0.0429053,0.0431075,0.043261
0.957,0.0433735,0.0428353,0.0430646,0.0432399,0.043167
0.96,0.0432607,0.0429518,0.0429484,0.0430796,0.0431587
0.963,0.043246,0.0427875,0.0428171,0.0431164,0.0430954
0.966,0.04316,0.0427928,0.0428019,0.0430888,0.0429887
0.969,0.0431533,0.0427356,0.042662,0.0429501,0.043103
0.972,0.0432905,0.0426114,0.0427705,0.0429708,0.0430404
0.975,0.0432824,0.0426572,0.0429057,0.0428533,0.0429118
0.978,0.0431116,0.0426229,0.0427548,0.0427741,0.0429645
0.981,0.0431272,0.0424922,0.0428327,0.0428994,0.042847
0.984,0.042983,0.0426335,0.0428346,0.0428235,0.0428299
0.987,0.0430019,0.0426051,0.0426034,0.0429167,0.0429259
0.99,0.0431086,0.0426157,0.0427669,0.0428789,0.0428207
0.993,0.0431135,0.0425849,0.0426439,0.0426975,0.0428039
0.996,0.0431119,0.0424255,0.0425242,0.0426187,0.042781
0.999,0.0429963,0.0423827,0.0425939,0.0426539,0.0426704
1.002,0.042756,0.0424981,0.042602,0.0426892,0.0428093
1.005,0.0428553,0.0424536,0.0425449,0.0428922,0.042826
1.008,0.0428991,0.0425878,0.0426365,0.0427609,0.042655
1.011,0.0429405,0.0423801,0.0423897,0.0425944,0.0426934
1.014,0.043045,0.0422077,0.0423486,0.0425515,0.0425478
1.017,0.0427914,0.0422336,0.0424064,0.0424124,0.0425452
1.02,0.0426633,0.0421196,0.0423613,0.0425157,0.0426914
1.023,0.0427016,0.042301,0.0425061,0.0427076,0.0426282
1.026,0.0426423,0.0424081,0.0425549,0.0425335,0.0425798
1.029,0.0427523,0.0422099,0.0423401,0.0425013,0.0425974
1.032,0.0427651,0.042128,0.0422504,0.042405,0.0423692
1.035,0.0427059,0.0421078,0.0421591,0.0422448,0.0424149
1.038,0.0426671,0.0420582,0.0422011,0.0423766,0.0424909
1.041,0.0426046,0.042222,0.0423616,0.0423669,0.0424463
1.044,0.0425326,0.0422115,0.0423735,0.0423536,0.0425213
1.047,0.0425867,0.0421044,0.0422256,0.0424081,0.0423885
1.05,0.0424809,0.0421251,0.0421656,0.042226,0.0423138
1.053,0.0425405,0.0420178,0.0419736,0.0421956,0.0423687
1.056,0.0425095,0.0420025,0.0421002,0.0422405,0.0423308
1.059,0.042375,0.0420921,0.0421462,0.0421714,0.0423822
1.062,0.0424285,0.0419262,0.0421176,0.0422209,0.0423524
1.065,0.0424148,0.0419414,0.0421644,0.04223,0.0422216
1.068,0.0422395,0.041963,0.0419594,0.0420812,0.0422654
1.071,0.0423217,0.0418817,0.041898,0.0421897,0.0422771
1.074,0.0423591,0.0419699,0.0420682,0.0420701,0.0423131
1.077,0.0423612,0.0419106,0.0419666,0.0420011,0.0423234
1.08,0.0424602,0.0417169,0.0420165,0.0419924,0.0421698
1.083,0.042219,0.041744,0.0420572,0.0419662,0.042104
1.086,0.0420698,0.0417326,0.0418735,0.042074,0.0422088
1.089,0.0421298,0.0418181,0.0419369,0.042129,0.0421502
1.092,0.042055,0.0419771,0.0419065,0.0420362,0.042225
1.095,0.042202,0.0418491,0.0417491,0.0419651,0.0422113
1.098,0.0422462,0.04177,0.0417848,0.0418903,0.0419639
1.101,0.0420398,0.0416566,0.0417212,0.0418176,0.042098
1.104,0.0420208,0.0415386,0.0417008,0.0419604,0.0420927
1.107,0.0418908,0.0416317,0.0419394,0.0419899,0.042019
1.11,0.0418921,0.0417031,0.0417638,0.0419718,0.0421995
1.113,0.0421845,0.041623,0.0417044,0.0418443,0.042011
1.116,0.0421467,0.0416839,0.041691,0.0416313,0.0418475
1.119,0.0420568,0.0414804,0.0415506,0.0416235,0.0419909
1.122,0.0419858,0.0413737,0.0416447,0.0417183,0.0419211
1.125,0.0417334,0.04148,0.0418074,0.0417545,0.0419612
1.128,0.04175,0.0414607,0.0417969,0.0418406,0.0420649
1.131,0.0419221,0.0415651,0.0417633,0.041776,0.0418597
1.134,0.0418786,0.0415755,0.0415591,0.0416026,0.041826
1.137,0.0418799,0.041478,0.0414021,0.0416704,0.0418842
1.14,0.0418177,0.0415452,0.0415441,0.04164,0.041755
1.143,0.0416297,0.0414718,0.0415379,0.0416228,0.0419694
1.146,0.0417406,0.0413588,0.0416355,0.0418033,0.0418605
1.149,0.0417075,0.0414129,0.0416299,0.0416149,0.0417709
1.152,0.0416975,0.0413518,0.0414436,0.0415319,0.0417755
1.155,0.0418122,0.0413078,0.0414713,0.0415937,0.0416936
1.158,0.0417751,0.0413789,0.0414372,0.0414499,0.041683
1.161,0.0418123,0.0411907,0.0414074,0.0415428,0.0418002
1.164,0.0418211,0.041253,0.0415685,0.0415511,0.041669
1.167,0.0416384,0.0413012,0.0415075,0.0414213,0.0416612
1.17,0.0416035,0.04115,0.0414588,0.0415142,0.041616
1.173,0.0415685,0.0412715,0.0414725,0.0415806,0.0415988
1.176,0.0415545,0.0414137,0.0413014,0.0414669,0.041755
1.179,0.0416822,0.0413099,0.0413496,0.0415123,0.0417614
1.182,0.0415944,0.0413217,0.04136,0.0413666,0.0416672
1.185,0.0415176,0.0410732,0.0412655,0.0413294,0.0416116
1.188,0.04149,0.0410465,0.0413106,0.0413864,0.041413
1.191,0.0413587,0.0411629,0.04135,0.0414427,0.0415039
1.194,0.0414013,0.0411447,0.0413272,0.0414876,0.0416409
1.197,0.0415237,0.041188,0.0413574,0.0414855,0.0415082
1.2,0.0415092,0.0411893,0.0412322,0.0412601,0.0415173
1.203,0.0415324,0.0409856,0.0411664,0.0412257,0.0414207
1.206,0.0414221,0.0409549,0.0412647,0.0412898,0.0413286
