ProDataCSV

Title: Mon Mar 18 16:56:47 2024

Remarks:
#User: SX User
#Date: 2024/03/18
#HV (Absorbance channel): 238.586
#Samples per point: 8
#Sample period: 12.5 us
#Temperature: 19.82 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Mon Mar 18 17:16:48 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 0.1s,linear,oversampled,external trigger,pressure hold in operation
0.003,0.0444429,0.0447393,0.0445426,0.0452265,0.0454342
0.0031,0.0448701,0.0451904,0.0449699,0.0456635,0.0456985
0.0032,0.0454173,0.0456572,0.0453044,0.0460166,0.0460618
0.0033,0.0458821,0.045985,0.0457216,0.0465692,0.0462428
0.0034,0.0461297,0.0463864,0.0459884,0.0469016,0.0465687
0.0035,0.0465058,0.0467073,0.0464374,0.047194,0.0469225
0.0036,0.0467991,0.04705,0.0467594,0.0475665,0.0473136
0.0037,0.0471203,0.0473646,0.0471498,0.0477605,0.0476635
0.0038,0.0474031,0.047857,0.0474264,0.0481205,0.0480001
0.0039,0.0477134,0.0481688,0.0477089,0.0483933,0.0483182
0.004,0.0481699,0.0484893,0.047978,0.0487276,0.0486502
0.0041,0.0483188,0.0486963,0.048208,0.0491043,0.0489734
0.0042,0.0486804,0.0490701,0.0486934,0.0492785,0.0493418
0.0043,0.0489239,0.0493418,0.0489387,0.0495799,0.0497401
0.0044,0.0493389,0.0496534,0.049139,0.0497515,0.049983
0.0045,0.0494329,0.0499152,0.0493868,0.0499152,0.050221
0.0046,0.0496688,0.0500275,0.0496871,0.0503631,0.050555
0.0047,0.0500789,0.0504676,0.0497948,0.0505413,0.0507487
0.0048,0.0505419,0.0506938,0.0500121,0.0509556,0.0511758
0.0049,0.050871,0.0510854,0.0504396,0.0512467,0.0515329
0.005,0.0510579,0.0514619,0.0505961,0.05151,0.0516537
0.0051,0.0513308,0.051629,0.0508481,0.0517356,0.0520048
0.0052,0.0515117,0.0516829,0.0511283,0.0520559,0.0520765
0.0053,0.0516886,0.0520983,0.0512061,0.0523597,0.0522881
0.0054,0.0518496,0.0523793,0.0516852,0.0526042,0.0524779
0.0055,0.0521974,0.0525347,0.0519653,0.0528688,0.0524963
0.0056,0.0524464,0.052785,0.0523741,0.0531612,0.0528045
0.0057,0.0526627,0.0531061,0.0525984,0.0534561,0.0530647
0.0058,0.0526604,0.0533779,0.0526834,0.0535999,0.0532319
0.0059,0.052971,0.0535038,0.0529578,0.053921,0.0533773
0.006,0.0531003,0.0536982,0.0530877,0.0541766,0.0535815
0.0061,0.0533158,0.0539567,0.0533129,0.0544238,0.0538697
0.0062,0.0536436,0.0540499,0.0535009,0.0547011,0.05424
0.0063,0.0538076,0.0542613,0.0537564,0.0549399,0.0545817
0.0064,0.0541173,0.0545396,0.0540027,0.0550213,0.0548741
0.0065,0.054308,0.0547195,0.054183,0.0553538,0.054982
0.0066,0.0545091,0.0550028,0.0544105,0.0553896,0.055128
0.0067,0.0547028,0.0552089,0.054723,0.0556028,0.0551304
0.0068,0.0551338,0.0555352,0.0549601,0.0557785,0.0554243
0.0069,0.0553602,0.0556947,0.0551107,0.0560272,0.0555889
0.007,0.0557935,0.056011,0.0553492,0.0563165,0.0559664
0.0071,0.055963,0.0561724,0.0554318,0.0565035,0.0562812
0.0072,0.0562783,0.0563148,0.0556485,0.0567056,0.0564045
0.0073,0.0564132,0.0565029,0.0558167,0.0569409,0.0567364
0.0074,0.0566025,0.0568325,0.0561649,0.0570951,0.0569369
0.0075,0.0567039,0.0570174,0.0563998,0.0574182,0.0573956
0.0076,0.0570702,0.057185,0.0566599,0.0575483,0.0576301
0.0077,0.057301,0.0574809,0.0568922,0.0577857,0.0579397
0.0078,0.0575982,0.057705,0.0571601,0.0580495,0.0581332
0.0079,0.0577956,0.0579176,0.0573631,0.058314,0.0583814
0.008,0.0579408,0.0581634,0.057507,0.0584274,0.0584937
0.0081,0.0579013,0.0582966,0.0576411,0.0584984,0.0586817
0.0082,0.0582047,0.0584309,0.0579437,0.0588371,0.0588493
0.0083,0.058364,0.0587253,0.0581913,0.059119,0.0589133
0.0084,0.0585338,0.0588936,0.0584483,0.0593515,0.0591434
0.0085,0.0586764,0.0591184,0.0586892,0.059587,0.0593538
0.0086,0.0589168,0.0592093,0.0588871,0.0597025,0.0595707
0.0087,0.0591644,0.0594984,0.0591143,0.0597889,0.0598034
0.0088,0.0592704,0.0596739,0.0594307,0.0600381,0.0598414
0.0089,0.05945,0.0597929,0.0595071,0.0601297,0.0600509
0.009,0.0598209,0.0598927,0.0596313,0.0602173,0.060295
0.0091,0.0598811,0.0600836,0.059828,0.0603079,0.0605726
0.0092,0.0601408,0.0603382,0.0600672,0.060517,0.0606731
0.0093,0.0604101,0.0605889,0.0602302,0.0607445,0.0608035
0.0094,0.0605159,0.0606521,0.0604195,0.0608743,0.060931
0.0095,0.0607603,0.0608725,0.0606012,0.0611235,0.0611206
0.0096,0.0609667,0.0612155,0.0608725,0.0611522,0.0613958
0.0097,0.0610446,0.0614011,0.0609644,0.0613191,0.0616752
0.0098,0.0612494,0.0614655,0.061185,0.0614883,0.0617766
0.0099,0.0613794,0.0616454,0.061226,0.061592,0.06201
0.01,0.0615411,0.0617514,0.0614052,0.0617473,0.0622593
0.0101,0.0616207,0.0619701,0.0616213,0.062034,0.0626027
0.0102,0.0618786,0.0620217,0.0617555,0.0622135,0.0624677
0.0103,0.061915,0.0621906,0.061949,0.0624571,0.0626509
0.0104,0.0622012,0.0623098,0.0621619,0.0626644,0.0629734
0.0105,0.0622969,0.0624348,0.0622822,0.0628976,0.0630728
0.0106,0.0623966,0.0625264,0.0623996,0.0630687,0.0632486
0.0107,0.0625875,0.0627484,0.0626932,0.0632727,0.063361
0.0108,0.0628042,0.0629917,0.0629335,0.063491,0.0635487
0.0109,0.0628406,0.0630834,0.0630657,0.0635999,0.0638018
0.011,0.0631122,0.0632557,0.0631757,0.0637217,0.0640209
0.0111,0.0632151,0.0634463,0.0633762,0.0638271,0.0642048
0.0112,0.0633786,0.0636705,0.0635757,0.0640687,0.0642254
0.0113,0.0634257,0.0637082,0.0637529,0.0642408,0.0644082
0.0114,0.0637076,0.0638754,0.0638507,0.0643652,0.0645728
0.0115,0.0637812,0.0640427,0.0640257,0.0645669,0.0646335
0.0116,0.0637712,0.0641518,0.0642897,0.0647073,0.0649434
0.0117,0.0640044,0.0642543,0.064354,0.0647215,0.0650249
0.0118,0.0640781,0.06441,0.0645686,0.064702,0.0651412
0.0119,0.0642767,0.0645692,0.0645221,0.0648985,0.0653439
0.012,0.0644984,0.0647645,0.0647256,0.065182,0.0654267
0.0121,0.06464,0.0650267,0.0646855,0.0652051,0.0655017
0.0122,0.064849,0.0650993,0.0649877,0.0652086,0.0656383
0.0123,0.0649741,0.0652848,0.0650769,0.065406,0.0658395
0.0124,0.0651294,0.0653433,0.0652192,0.0656064,0.0659099
0.0125,0.065247,0.0654651,0.0653853,0.0657945,0.066101
0.0126,0.0654651,0.0654917,0.065455,0.0659909,0.0663261
0.0127,0.0654219,0.0657542,0.0656176,0.0661851,0.0663266
0.0128,0.0656478,0.0658264,0.0657318,0.0663089,0.0663965
0.0129,0.0657909,0.06583,0.0658152,0.0663563,0.0664991
0.013,0.0658371,0.0660779,0.0659779,0.0664783,0.0666964
0.0131,0.065898,0.0662106,0.0659862,0.066572,0.0668482
0.0132,0.0662011,0.0663071,0.0661389,0.0666638,0.0669692
0.0133,0.0663545,0.0664001,0.0662923,0.0668121,0.0672095
0.0134,0.0664493,0.0664807,0.0663983,0.0671353,0.06726
0.0135,0.0665204,0.0665008,0.0665654,0.067184,0.0673336
0.0136,0.0666348,0.0667439,0.066719,0.0673116,0.0674921
0.0137,0.0667468,0.0668263,0.0668328,0.0674037,0.0675896
0.0138,0.0667219,0.0670291,0.0669799,0.0674672,0.0678665
0.0139,0.0668986,0.067146,0.0670546,0.067608,0.0679253
0.014,0.0670422,0.0672463,0.0672481,0.0678171,0.0680407
0.0141,0.067238,0.067403,0.067273,0.0679539,0.0683101
0.0142,0.0673799,0.0674066,0.0675432,0.0679973,0.068369
0.0143,0.0674559,0.0674868,0.0675557,0.068071,0.0684869
0.0144,0.0677179,0.0675901,0.0676662,0.0682013,0.068575
0.0145,0.0677571,0.067725,0.0678272,0.0682102,0.0686965
0.0146,0.0678813,0.0679099,0.0678748,0.0683012,0.0687048
0.0147,0.0679235,0.0680115,0.0681412,0.0685875,0.0688335
0.0148,0.0679836,0.0681935,0.06814,0.0688061,0.0689366
0.0149,0.0681876,0.0682691,0.0681852,0.0687876,0.0690999
0.015,0.0682489,0.0685071,0.0683726,0.0690784,0.0691804
0.0151,0.0682911,0.0684869,0.0684518,0.0692328,0.0694708
0.0152,0.0684792,0.0686018,0.0685923,0.069472,0.069589
0.0153,0.0685601,0.0687328,0.0686167,0.0696111,0.0696385
0.0154,0.0685833,0.068737,0.0687763,0.0696815,0.0696773
0.0155,0.0686834,0.0689092,0.0688794,0.0698708,0.0697663
0.0156,0.0688961,0.0689366,0.0690409,0.06986,0.0698737
0.0157,0.0688895,0.0690123,0.0692811,0.0700362,0.0699574
0.0158,0.0690987,0.0691219,0.069404,0.0700864,0.0700744
0.0159,0.0692931,0.0692167,0.0695669,0.0703033,0.0702866
0.016,0.0693515,0.0693664,0.0695042,0.0704331,0.0703195
0.0161,0.0693891,0.0696188,0.0695562,0.0702842,0.0705928
0.0162,0.0695967,0.0696779,0.0697173,0.0706334,0.0708279
0.0163,0.0698283,0.0697048,0.0698349,0.0705551,0.0708949
0.0164,0.0699162,0.0697824,0.0699179,0.070786,0.0709733
0.0165,0.0699185,0.0699968,0.0702663,0.07095,0.0711003
0.0166,0.0701695,0.0699657,0.0704157,0.0710476,0.0711111
0.0167,0.0702752,0.0702047,0.0705844,0.0712111,0.0711578
0.0168,0.0702932,0.070268,0.0705593,0.0711752,0.0710979
0.0169,0.0701563,0.0703464,0.0707561,0.0712638,0.0712488
0.017,0.0703858,0.0705383,0.0708686,0.0713687,0.0714256
0.0171,0.0705796,0.0707274,0.0709249,0.0713555,0.071597
0.0172,0.0706406,0.0707118,0.0709943,0.0715371,0.0717296
0.0173,0.0707866,0.070859,0.071065,0.0716924,0.0717553
0.0174,0.0707716,0.0710811,0.0711069,0.0718405,0.0720097
0.0175,0.0710979,0.0711045,0.0713177,0.0718921,0.0719989
0.0176,0.0712464,0.0711272,0.0713543,0.0721076,0.0719491
0.0177,0.0712345,0.0712009,0.0713489,0.0722222,0.072107
0.0178,0.0713411,0.0713591,0.0714772,0.0723748,0.0723213
0.0179,0.0714352,0.0714724,0.0716474,0.0724066,0.0723273
0.018,0.0715005,0.0715407,0.0718267,0.0724691,0.0725255
0.0181,0.0715635,0.0716486,0.0719287,0.072528,0.0726427
0.0182,0.071639,0.0716504,0.0720073,0.0725904,0.0727696
0.0183,0.0717775,0.0717884,0.0720487,0.0727125,0.0728207
0.0184,0.0718891,0.0719599,0.072191,0.0727996,0.0728573
0.0185,0.0720806,0.0719341,0.0721748,0.072903,0.0730823
0.0186,0.0722378,0.0721352,0.0723357,0.0731082,0.0731262
0.0187,0.0722162,0.0721532,0.0723411,0.0730781,0.0733398
0.0188,0.072424,0.0722036,0.072582,0.0731713,0.0733062
0.0189,0.0723321,0.0723483,0.0727894,0.0732718,0.0733736
0.019,0.0725298,0.0725207,0.0728952,0.0733344,0.0734536
0.0191,0.0724967,0.0727696,0.0729512,0.0735325,0.0735921
0.0192,0.0726295,0.0728477,0.0730029,0.0735283,0.0736729
0.0193,0.0727016,0.0728327,0.0729866,0.0735753,0.0738446
0.0194,0.0728038,0.0729229,0.0732219,0.073715,0.0738265
0.0195,0.072873,0.0730209,0.0732231,0.073791,0.0738663
0.0196,0.0730059,0.0731112,0.073264,0.0740363,0.0739941
0.0197,0.0731088,0.0731418,0.0733308,0.0741678,0.0740049
0.0198,0.0730612,0.0732135,0.0733886,0.0741937,0.0742256
0.0199,0.0730612,0.0733398,0.0735223,0.0743499,0.0742697
0.02,0.0731725,0.0733597,0.0736945,0.0745098,0.0743704
0.0201,0.0733477,0.0734476,0.0737524,0.0743922,0.0743186
0.0202,0.0735909,0.0734928,0.0736542,0.0744815,0.074505
0.0203,0.0735566,0.0735614,0.0738548,0.0745932,0.0745606
0.0204,0.0737199,0.0736674,0.0738247,0.0747761,0.0747405
0.0205,0.0738271,0.0737632,0.0739248,0.0747592,0.0748033
0.0206,0.0737711,0.0738922,0.074014,0.0748166,0.0748353
0.0207,0.0739465,0.0739838,0.074169,0.075057,0.0749851
0.0208,0.0738892,0.0741014,0.0742661,0.0751592,0.0747797
0.0209,0.0740182,0.0739681,0.0743264,0.0751707,0.0749036
0.021,0.0739995,0.0741581,0.0744483,0.0752275,0.0750667
0.0211,0.0740405,0.0743777,0.0744773,0.0752318,0.0751804
0.0212,0.0741539,0.0745153,0.0745805,0.0752783,0.0752275
0.0213,0.0743113,0.0743783,0.0745497,0.0753212,0.075444
0.0214,0.0744374,0.0744133,0.0745098,0.0753871,0.0754216
0.0215,0.074543,0.0743348,0.0747145,0.0755329,0.0754138
0.0216,0.0745696,0.0745738,0.0747224,0.075539,0.0755692
0.0217,0.0747097,0.0745135,0.074822,0.0755747,0.0756667
0.0218,0.0745907,0.0748045,0.0749338,0.0756497,0.0757266
0.0219,0.0746439,0.074758,0.0749181,0.0758101,0.0757181
0.022,0.074697,0.0748728,0.0750244,0.0759094,0.0757914
0.0221,0.0747447,0.0749573,0.0751574,0.0759294,0.0758519
0.0222,0.0748854,0.0750021,0.0751538,0.0759918,0.0757859
0.0223,0.0748395,0.0751139,0.0752215,0.0760045,0.0758731
0.0224,0.074938,0.0751773,0.075262,0.0760954,0.0759354
0.0225,0.0750885,0.0752184,0.0750885,0.0762699,0.0759893
0.0226,0.0750438,0.0753678,0.0751126,0.0762735,0.0760814
0.0227,0.0751925,0.0753424,0.0753224,0.0763608,0.0760839
0.0228,0.0752269,0.0753866,0.0754216,0.0764511,0.0762105
0.0229,0.0752239,0.0755009,0.0755977,0.0765809,0.0762911
0.023,0.0753654,0.0755765,0.0757042,0.0767252,0.0762675
0.0231,0.07532,0.0756152,0.0756043,0.0766919,0.0762844
0.0232,0.0754065,0.0756152,0.0756219,0.0766203,0.0764578
0.0233,0.0754543,0.0758537,0.0758029,0.0765948,0.076442
0.0234,0.0754876,0.0758107,0.0757568,0.0766518,0.0765378
0.0235,0.0755753,0.0758464,0.0758792,0.0766167,0.0766373
0.0236,0.0756903,0.0758434,0.0759506,0.0766239,0.0766773
0.0237,0.0758022,0.0759288,0.0759082,0.0768242,0.0767344
0.0238,0.0758022,0.0761032,0.076159,0.0768818,0.0767817
0.0239,0.0758743,0.0760578,0.076225,0.0770748,0.0766743
0.024,0.0759239,0.0760554,0.0763117,0.0769516,0.0769037
0.0241,0.0759555,0.0761638,0.0762323,0.0771611,0.0770499
0.0242,0.0758471,0.0761632,0.0761553,0.0771513,0.0771222
0.0243,0.0759385,0.0762844,0.0762899,0.0771459,0.0769826
0.0244,0.0758658,0.0763189,0.076222,0.0771568,0.076971
0.0245,0.0759972,0.0762729,0.0763602,0.0772272,0.0770002
0.0246,0.0760966,0.076139,0.0764893,0.0773311,0.0769637
0.0247,0.076102,0.076182,0.0765439,0.0773603,0.0769637
0.0248,0.0762311,0.0762184,0.076556,0.0774162,0.0771671
0.0249,0.0762044,0.0763675,0.076556,0.0774393,0.0771465
0.025,0.0762208,0.0764032,0.0764123,0.0774739,0.0772242
0.0251,0.0762135,0.0765663,0.0765851,0.0775845,0.0773469
0.0252,0.076325,0.0767738,0.0766773,0.0777262,0.0774387
0.0253,0.0764723,0.0766264,0.0767313,0.0777962,0.0773998
0.0254,0.0765269,0.076704,0.0767356,0.0778047,0.0776052
0.0255,0.0766416,0.0768417,0.0768581,0.0776824,0.077573
0.0256,0.0767161,0.0768157,0.0770014,0.0777615,0.0775007
0.0257,0.07688,0.0769182,0.0770827,0.0778418,0.0776034
0.0258,0.0768757,0.0770178,0.0771629,0.0776763,0.0776283
0.0259,0.0768254,0.0769874,0.0771477,0.0778411,0.0775949
0.026,0.0767004,0.0771149,0.0772534,0.0778302,0.07777
0.0261,0.0767046,0.0771368,0.0774314,0.0779111,0.0779093
0.0262,0.0768223,0.0770639,0.0773846,0.0779494,0.0778119
0.0263,0.0769358,0.0772352,0.077319,0.0779567,0.0779215
0.0264,0.076968,0.0771465,0.0773403,0.0779367,0.0779081
0.0265,0.0769886,0.0771896,0.0773311,0.0779865,0.0779841
0.0266,0.0769832,0.0772321,0.0775554,0.0779123,0.0780644
0.0267,0.0771647,0.0772916,0.077449,0.0781429,0.0781241
0.0268,0.0771708,0.0771787,0.0774739,0.0781795,0.0780438
0.0269,0.0772801,0.0772904,0.077621,0.0781241,0.07809
0.027,0.0771508,0.0772734,0.0776666,0.0782136,0.0780742
0.0271,0.0771763,0.0774794,0.0776368,0.0780991,0.0780845
0.0272,0.0772005,0.0775067,0.0777055,0.0783091,0.0781162
0.0273,0.0771428,0.0774988,0.0777299,0.0781984,0.0782495
0.0274,0.0771732,0.0775985,0.0778387,0.0782093,0.078219
0.0275,0.0772886,0.0775845,0.07777,0.0782982,0.0783067
0.0276,0.0773718,0.0776454,0.0777286,0.0783457,0.0782702
0.0277,0.0775086,0.0775681,0.0777998,0.0783286,0.0783463
0.0278,0.0773877,0.0776897,0.0777037,0.07861,0.0784577
0.0279,0.0775043,0.0778028,0.0778795,0.0785125,0.0783536
0.028,0.0774673,0.0777785,0.0779348,0.0786405,0.0783731
0.0281,0.0776958,0.0778387,0.0779859,0.0786789,0.0783603
0.0282,0.0775985,0.0778077,0.0779987,0.078682,0.0784998
0.0283,0.0776611,0.0779793,0.0780535,0.0786887,0.0786588
0.0284,0.0775341,0.0779963,0.0781296,0.0786892,0.0786643
0.0285,0.0776022,0.0780492,0.0782081,0.0786283,0.0785826
0.0286,0.0777189,0.0780864,0.0780821,0.0787319,0.0787021
0.0287,0.0776849,0.0779957,0.078269,0.0786557,0.0788465
0.0288,0.0778588,0.077964,0.0782866,0.078682,0.0788185
0.0289,0.0778266,0.0780157,0.0783195,0.0788185,0.0787551
0.029,0.0779397,0.0780693,0.0784157,0.0788843,0.0788898
0.0291,0.077891,0.0780273,0.0784285,0.0789361,0.0787508
0.0292,0.0780157,0.0781198,0.0785156,0.078963,0.0787478
0.0293,0.077975,0.0782769,0.0786271,0.0788819,0.0788051
0.0294,0.0780017,0.0783481,0.0786125,0.0790319,0.0787685
0.0295,0.0779014,0.0783572,0.0786131,0.0789105,0.0788563
0.0296,0.0780803,0.0783907,0.0785844,0.0790844,0.0789807
0.0297,0.078244,0.0784328,0.0786143,0.0790642,0.0790508
0.0298,0.0781569,0.0784188,0.0786435,0.079074,0.079088
0.0299,0.0782507,0.078618,0.0786009,0.0790313,0.0790154
0.03,0.078244,0.078727,0.0788191,0.0792442,0.0791777
0.0301,0.0782422,0.078593,0.0787143,0.0793388,0.0792302
0.0302,0.0783317,0.0786545,0.0788014,0.0791576,0.0792179
0.0303,0.0784005,0.0786813,0.078688,0.0792912,0.0791417
0.0304,0.0784492,0.0786423,0.0789227,0.0792186,0.0793632
0.0305,0.0784949,0.0787478,0.0789898,0.079279,0.0793302
0.0306,0.078487,0.0788081,0.0788715,0.0792967,0.0793626
0.0307,0.0785747,0.0789435,0.0788203,0.0794102,0.0793101
0.0308,0.0785333,0.0789343,0.0789331,0.0793168,0.0793364
0.0309,0.0785369,0.0789306,0.0789819,0.0793876,0.0794279
0.031,0.0785814,0.0790051,0.0790691,0.0793962,0.0794834
0.0311,0.0786338,0.0790465,0.0790831,0.0794578,0.0795225
0.0312,0.0786746,0.0790099,0.079085,0.079536,0.0794969
0.0313,0.0785978,0.0791063,0.07929,0.0795256,0.0795732
0.0314,0.0786795,0.0792076,0.0793052,0.0796044,0.0794719
0.0315,0.0786813,0.0791319,0.079326,0.0796184,0.0795213
0.0316,0.0787624,0.0789392,0.0793107,0.079514,0.0795567
0.0317,0.0787868,0.0789264,0.079329,0.0797076,0.0796398
0.0318,0.0787868,0.079027,0.0793138,0.0798726,0.0796086
0.0319,0.078866,0.078991,0.0793376,0.0797736,0.0796031
0.032,0.0788947,0.0789532,0.0794627,0.0798561,0.0796593
0.0321,0.0787734,0.0790935,0.0795751,0.079875,0.0796074
0.0322,0.078952,0.07911,0.0795531,0.0798206,0.0798811
0.0323,0.0789258,0.0791283,0.0794865,0.079831,0.0797363
0.0324,0.0788935,0.0789746,0.0797027,0.0798701,0.0797449
0.0325,0.0789715,0.0791368,0.0796245,0.0798829,0.0798035
0.0326,0.0790648,0.0791826,0.0795073,0.0799007,0.0798115
0.0327,0.079174,0.0791991,0.0795952,0.0799062,0.0797387
0.0328,0.0792918,0.0792277,0.0795292,0.0799795,0.0798939
0.0329,0.0792924,0.0792826,0.0795689,0.0799612,0.0799325
0.033,0.0793602,0.0793632,0.0796001,0.0799948,0.0799844
0.0331,0.0793113,0.0792863,0.0796434,0.0799758,0.0798787
0.0332,0.0792674,0.0794682,0.0796978,0.0798573,0.0799673
0.0333,0.0793022,0.0794932,0.0798591,0.080026,0.0798732
0.0334,0.0793949,0.0793992,0.0799404,0.0799214,0.0798829
0.0335,0.0793211,0.0795116,0.0798451,0.0798854,0.0799801
0.0336,0.079326,0.0795176,0.0797852,0.0800119,0.0800357
0.0337,0.0792845,0.0795549,0.079831,0.0798762,0.0801776
0.0338,0.0793131,0.079536,0.0797039,0.0799899,0.0802228
0.0339,0.0795836,0.0795329,0.079842,0.0800339,0.0800651
0.034,0.0796532,0.0795812,0.0799691,0.0800688,0.0800602
0.0341,0.079492,0.0796227,0.0800883,0.0801116,0.0801085
0.0342,0.079536,0.0796764,0.0801611,0.0801941,0.0801862
0.0343,0.0795268,0.0796728,0.0802063,0.0800846,0.080232
0.0344,0.0796722,0.0796459,0.080399,0.0802742,0.0802467
0.0345,0.0796911,0.0798023,0.0803128,0.0802626,0.0801892
0.0346,0.0797424,0.0797449,0.0802944,0.0802412,0.0801911
0.0347,0.079721,0.0797442,0.0802357,0.0803103,0.0802394
0.0348,0.0795677,0.0797846,0.080273,0.0802675,0.0802363
0.0349,0.0795799,0.0798053,0.0803385,0.0802406,0.0801507
0.035,0.0795305,0.0797821,0.0804057,0.0803587,0.0801953
0.0351,0.0796801,0.0798377,0.0803758,0.0804094,0.0802657
0.0352,0.0798261,0.079853,0.0804363,0.0804529,0.0802608
0.0353,0.0798854,0.0798939,0.0803103,0.0804657,0.0803085
0.0354,0.0799942,0.0798903,0.0803005,0.0805037,0.0802779
0.0355,0.0799966,0.0799257,0.0803837,0.0806616,0.080478
0.0356,0.0800987,0.0797662,0.0803623,0.0805171,0.0804871
0.0357,0.0800755,0.0800241,0.0803348,0.0803984,0.0804639
0.0358,0.0800926,0.0799343,0.0804088,0.0804223,0.0805802
0.0359,0.080092,0.0799447,0.0802473,0.0803317,0.0804168
0.036,0.0801421,0.0799098,0.0802846,0.0804914,0.080571
0.0361,0.0801042,0.0798793,0.0803898,0.0805918,0.0805459
0.0362,0.08007,0.0799514,0.080355,0.08053,0.0806108
0.0363,0.080125,0.080026,0.0804688,0.0805551,0.0806144
0.0364,0.0800871,0.0801843,0.080612,0.080522,0.0804988
0.0365,0.0800877,0.0801299,0.0806163,0.0807779,0.0806077
0.0366,0.0801201,0.0801299,0.080661,0.0807222,0.0805728
0.0367,0.0800963,0.0800535,0.0807271,0.0808992,0.0806077
0.0368,0.0802021,0.0800718,0.0806463,0.0809255,0.0806071
0.0369,0.080251,0.0802332,0.0806861,0.0809899,0.0804565
0.037,0.0801342,0.080188,0.0806065,0.0810689,0.080462
0.0371,0.0802308,0.080136,0.0808728,0.0811332,0.0805
0.0372,0.0801458,0.0802253,0.0808263,0.0811289,0.0805716
0.0373,0.0801843,0.0802431,0.0807865,0.08114,0.0805306
0.0374,0.080188,0.0802962,0.0808943,0.0811571,0.0807369
0.0375,0.080092,0.0803342,0.0808251,0.0810971,0.0807834
0.0376,0.0801862,0.0804223,0.0809059,0.0810916,0.0806818
0.0377,0.0802247,0.080459,0.0808869,0.0811136,0.0807191
0.0378,0.0802088,0.0805147,0.0808159,0.081091,0.0807063
0.0379,0.0803697,0.0805526,0.0807914,0.0811486,0.0807479
0.038,0.0803721,0.0805116,0.0807142,0.0810769,0.0806946
0.0381,0.0806206,0.0804718,0.0807522,0.0811651,0.0809022
0.0382,0.0806334,0.0805116,0.0807742,0.0812626,0.0808361
0.0383,0.0806242,0.0805373,0.0808581,0.0812577,0.0809029
0.0384,0.0805508,0.0805649,0.0808967,0.0811755,0.0810235
0.0385,0.0806279,0.0805924,0.0808612,0.0812307,0.0810487
0.0386,0.0806597,0.0806934,0.0808079,0.0812331,0.08111
0.0387,0.0804798,0.080841,0.080882,0.0813128,0.0810701
0.0388,0.0806922,0.0807975,0.0807957,0.0814091,0.0809752
0.0389,0.0805881,0.0807969,0.0808618,0.0813564,0.0809715
0.039,0.0805667,0.0806891,0.0808128,0.0814698,0.0810811
0.0391,0.0806769,0.0805447,0.0809414,0.0814312,0.0810811
